"symbol","mom_z_ts","mom_z_cs","vol_z_ts","vol_z_cs","skew_z_ts","skew_z_cs","ret_1m_z_ts","ret_1m_z_cs","dfp_z_ts","dfp_z_cs"
"A",-0.895795178517631,-0.414244610284644,1.41793426093423,0.415196333365043,0.154161817881819,0.283550293186493,0.474550580019398,0.347133212754606,1.12977361987531,0.98358625810158
"AAPL",-0.663648042125694,0.170712539551839,-1.54551406168129,-0.621800073805658,0.673619044497048,0.245294220244204,0.105052832010048,0.128439192512299,0.895805700484831,0.98358625810158
"ABBV",0.567838278931679,0.959582505941588,-1.03144705243698,-0.498455827395871,-1.30672100272668,-0.562276128488535,0.365608835859959,0.287463534253804,0.804947591764829,0.918365841633402
"ABT",-0.0344877059553155,0.374226162908434,-0.20067391248234,-0.859266334960215,-0.27444149808279,0.333329782268962,0.525992448681677,0.26625479194126,0.236198995573775,0.617611504796927
"ACGL",-1.12707761411514,-0.518761495776982,0.00531683454901539,-0.216258142142317,0.172207631340868,0.641871268239576,1.04103092985019,0.87173004595869,-0.285967069536271,0.11380171703461
"ACN",-2.42249180097035,-1.29908722921734,0.255980152054939,-0.262096351915034,0.755198300486947,-0.124684898568231,-0.169247737251096,-0.307950258892259,-1.9013257153082,-1.37985649326384
"ADBE",-1.46647766076837,-1.19940736778937,0.169003129558365,0.424507415139081,2.86293642529425,2.04934780166565,-0.853804843008284,-1.09243311097802,-1.83481200939137,-2.32587358903081
"ADI",-0.0273078703005384,0.443156508056389,-0.545163619061902,-0.189711441494776,0.974320547513155,0.920878767493896,1.4928944633835,1.47284063490765,0.874994432947482,0.98358625810158
"ADM",0.249352346689056,0.342290997789507,0.836051802293545,0.135050651650208,0.292195043792706,-0.272234842390451,0.0407832523985267,-0.143785076225135,0.423548312096311,0.33373211636418
"ADP",-1.20314326978016,-0.21615626238044,-1.56769657533257,-1.11190012740734,-0.46409018057926,-0.698399214484337,-0.540973629404663,-0.558465830367465,-2.46222269461237,-0.443269291671235
"ADSK",-0.436517562661957,0.171528040010202,-1.59417291578135,0.0288574947867137,-1.23924153622544,-0.307922051685458,-0.120059803667049,-0.214225114022799,0.585715507755503,0.673733372038277
"AEE",0.298547621459779,0.381256644639204,-0.456574583963794,-1.19017959881899,0.439119040842047,0.555828451281275,0.641166968624342,0.262674947857041,0.884199610690311,0.98358625810158
"AEP",0.652266406077148,0.501860781284509,-0.442471852445358,-1.02776481543435,0.901970152206562,0.0869870503658534,0.497662722766658,0.194205580073012,1.09017742918853,0.98358625810158
"AES",-0.0245205856823234,0.0909268023698013,1.54270920764927,1.93009922834363,0.0164524705897269,-0.143545347614079,0.0304144953989199,-0.120170167367295,-0.677725882531707,-1.03990089316555
"AFL",-0.819199557995797,-0.153807380597964,-0.128258082919398,-0.698127898835246,0.454224621445951,0.530944949833526,0.318417956278911,0.15656228316339,0.539393823079616,0.907256063690622
"AIG",-0.163108009948134,0.0168758582874185,-1.1421616683441,-0.929043907456111,0.860400506313591,-0.2602938344585,-0.520204491426412,-0.774932550753541,0.146234285006713,0.199160650040179
"AIZ",-0.811145926826477,-0.263618974981966,2.28934721570618,-0.253421170205983,1.79214881469828,1.40673661243026,1.03436858080937,0.731601470494205,1.00634890026099,0.98358625810158
"AJG",-2.06268445946078,-0.139690417623329,1.62851738287941,0.0337419058137787,-2.1129504556656,-1.31193487230727,-0.427486228782367,-0.402455331689558,-5.03759597354788,-0.969487931813506
"AKAM",-1.28950629600174,-0.986949429615262,-0.698019712299489,-0.447882352993026,-0.292872553114702,-1.03723637638739,2.34857757359935,2.25478872155277,-1.14697927911153,-0.895416585783231
"ALB",-0.970322912924354,-1.50605756285004,0.318568101147436,2.03352985099043,-0.0259276815739314,0.323820484855811,2.42433011903562,4.00375138220125,1.0509638833607,0.501575636857877
"ALGN",-1.22960318208661,-2.14480839457772,-0.407148578433501,2.05831655412171,-0.0312485622093615,-0.485649468626472,0.358431757229635,0.596715546797614,-0.913463084888183,-2.80212433758333
"ALL",-0.501117268773393,0.0447998098649378,-0.139211096316645,-0.700765268566311,-0.287725541429735,-0.263416540086086,1.67324981281599,1.18979596359559,0.937214053943457,0.930145860957391
"ALLE",0.913016397408472,0.805586280542149,-0.224950807336837,-0.283408058920977,1.01525141859311,1.20080498616287,-0.137194437373565,-0.281734636514943,0.408633449851,0.545155960009262
"AMAT",-0.172488179279195,0.686574498247867,0.28109840954104,1.09311158693336,0.606079121592645,0.800395715952694,0.536283232529139,0.819841573479702,1.10467543290529,0.98358625810158
"AMCR",-1.83096607185853,-0.949302630340812,-0.15432450380451,-0.648908686876783,1.05079586189926,0.864920904236309,1.1871082264942,0.742674408003366,-1.37235352781786,-0.514678574347981
"AMD",-0.376258761452577,0.750804045599087,0.440926146828636,3.31962365199212,1.58758555334525,2.24020950637749,-1.19535969425527,-2.30943723694411,0.248086612348545,-0.051356455269271
"AME",-1.03367641360957,-0.242379107690275,-1.24094550046216,-1.02882115823548,-0.0123527796907208,-0.228330882286101,-0.544496876658692,-0.580724363798326,0.507933825260421,0.840166048553587
"AMGN",-0.484022428054819,-0.0358801908312713,-0.317852696401994,-0.460854801293401,-1.12642029849492,-0.582626395896701,2.31953339436064,1.9063220025497,1.15718477166951,0.98358625810158
"AMP",-1.26846148308326,-0.607680339472265,-1.52446839318929,-0.530843350228305,-0.209053535041919,-0.190024788528085,-0.0896101775227079,-0.168607300702008,-1.3597623225782,-0.361440822739111
